Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
HD117176 ,s0474,G5 V,5525,3.8,-0.09,G
HD117200 ,s0473,F0,6726,4.06,-0.02,F
HD117635 ,s0475,G9V,5080,3.94,-0.67,G
HD117876 ,s0476,G8III,4782,2.25,-0.5,G
HD118055 ,s0477,K0 IIIw,4202,0.71,-1.91,K
HD118100 ,s0478,K7V,4179,4.5,-0.07,K
HD118244 ,s0479,F5V,6404,4.18,-0.56,F
HD119228 ,s0481,M2III,3661,1.55,0.3,M
HD119288 ,s0482,F3Vp,6594,4.03,-0.46,F
HD119291 ,s0483,K7V,4475,4.56,0.1,K
HD119667 ,s0484,K5,3700,1,-0.35,K
HD120136 ,s0485,F7 V,6438,4.15,0.25,F
HD120933 ,s0487,K5III,3820,1.52,0.5,K
HD121130 ,s0486,M3III,3672,1.25,-0.24,M
HD121258 ,s0490,G5,6570,4,-0.92,G
HD121299 ,s0489,K2III,4696,2.29,0.04,K
HD121370 ,s0488,G0 IV,5981,3.62,0.25,G
HD122106 ,s0492,F8V,6330,3.63,0.14,F
HD122563 ,s0493,F8 IV,4566,1.12,-2.63,F
HD122742 ,s0494,G8V,5492,4.56,-0.01,G
HD122956 ,s0496,G6 IV-Vw,4635,1.49,-1.75,G
HD123299 ,s0495,A0 III,10100,3.3,-0.56,A
HD123657 ,s0497,M4 III,3484,0.85,0,M
HD123821 ,s0498,G8IIIp,4963,3.02,0.1,G
HD124186 ,s0499,K4 III,4347,2.1,0.24,K
HD124292 ,s0500,G0,5391,4.5,-0.19,G
HD124850 ,s0502,F7 IV,6116,3.83,-0.11,F
HD124897 ,s0501,K2 IIIp,4361,1.93,-0.53,K
HD125184 ,s0503,F9V,5536,3.92,0.15,F
HD125451 ,s0504,F5IV,6669,4.44,0.05,F
HD126053 ,s0507,G1V,5662,4.5,-0.45,G
HD126141 ,s0506,F5V,6748,4.48,0.04,F
HD126218 ,s0509,K0III,4921,2.81,0.09,K
HD126327 ,s0508,M7.5 III,3000,0,-0.58,M
HD126614 ,s0511,K0,5500,4.2,0.55,K
HD126660 ,s0510,F7 V,6202,3.84,-0.27,F
HD126681 ,s0513,G3 V,5536,4.65,-1.25,G
HD126778 ,s0512,K0III,4847,2.34,-0.61,K
HD127243 ,s0514,G3 IV,4978,3.2,-0.59,G
HD127334 ,s0515,G5V,5537,3.89,0.12,G
HD128167 ,s0517,F2 V,6722,4.38,-0.39,F
HD128429 ,s0518,F5V,6266,4.12,-0.13,F
HD128801 ,s0519,B9,10250,3.4,-1.2,B
HD128959 ,s0521,F7V,5763,3.5,-0.97,F
HD129174 ,s0522,B9p+...,12416,3.76,-0.28,B
HD130095 ,s0523,B9V,8656,3.47,-1.65,B
HD130322 ,s0524,K0III,5349,4.72,0.04,K
HD130694 ,s0527,K4III,4040,1.62,-0.28,K
HD130705 ,s0526,K4 II-III,4336,2.1,0.41,K
HD130817 ,s0525,F2V,6585,4.08,-0.46,F
HD131430 ,s0528,K2/K3III,4190,1.95,0.1,K
HD131918 ,s0530,K4 III,3970,1.49,0.22,K
HD131976 ,s0531,M1 V,3506,4.73,0,M
HD131977 ,s0532,K4 V,4501,4.7,0.02,K
HD132142 ,s0529,K1 V,5108,4.5,-0.55,K
HD132345 ,s0533,K3 III-IVp,4374,1.6,0.25,K
HD132475 ,s0534,F6 V,5545,3.72,-1.6,F
HD132933 ,s0535,M0.5 IIb,3660,0.7,0,M
HD133124 ,s0536,K4III,3955,1.48,0.05,K
HD134063 ,s0539,G5 III,4885,2.34,-0.68,G
HD134083 ,s0540,F5 V,6556,4.32,0.02,F
HD134169 ,s0541,G1 Vw,5798,3.87,-0.91,G
HD134439 ,s0543,K0/K1V,4950,4.57,-1.49,K
HD134440 ,s0542,K0V:,4740,4.5,-1.48,K
HD134987 ,s0544,G5V,5695,4.33,0.25,G
HD135482 ,s0546,K0III,4615,2.57,0.13,K
HD135485 ,s0548,B3V,18667,4.3,1.65,B
HD135722 ,s0547,G8 III,4847,2.56,-0.44,G
HD136064 ,s0545,F9IV,6080,3.95,-0.04,F
HD136202 ,s0550,F8 III-IV,6083,3.85,-0.08,F
HD136726 ,s0549,K4III,4159,1.91,0.13,K
HD136834 ,s0552,K3V,4765,4.32,0.2,K
HD137071 ,s0551,K4III,3952,1.13,-0.21,K
HD137391 ,s0553,F0 V,7190,4.14,0.28,F
HD137471 ,s0555,M1 III,3810,1.1,0.07,M
HD137510 ,s0556,G0IV-V,5836,3.37,0.1,G
HD137704 ,s0557,K4III,4109,1.97,-0.37,K
HD137759 ,s0554,K2 III,4498,2.38,0.05,K
HD137909 ,s0558,F0p,8541,4.25,0.82,F
HD138290 ,s0559,F4Vw,6872,4.59,-0.05,F
HD138481 ,s0560,K5III,3915,1.46,0.25,K
HD138764 ,s0563,B6IV,13827,3.97,-0.13,B
HD138776 ,s0562,K0,5700,4.2,0.48,K
HD139195 ,s0564,K0p,4856,2.82,-0.04,K
HD139446 ,s0566,G8III/IV,5080,2.7,-0.26,G
HD139641 ,s0565,G7.5IIIb,5030,2.99,-0.49,G
HD139669 ,s0561,K5 III,3895,1.41,-0.01,K
HD140160 ,s0567,A0p...,9164,3.3,-0.25,A
HD140283 ,s0568,F3 VI,5687,3.55,-2.53,F
HD141004 ,s0570,G0 Vvar,5915,4.1,-0.01,G
HD141714 ,s0571,G3.5 III,5275,3.02,-0.29,G
HD141851 ,s0572,A3Vn,8246,3.89,-2,A
HD142373 ,s0573,F9 V,5821,4.13,-0.41,F
HD142575 ,s0574,F0V,6550,3.6,-1,F
HD142703 ,s0577,A2Ib/II,7220,3.89,-1.02,A
HD142860 ,s0576,F6 V,6272,4.17,-0.16,F
HD142908 ,s0575,F0IV,6848,3.95,0.04,F
HD143459 ,s0578,A0Vs,8842,3.55,-1.26,A
HD143761 ,s0579,G2 V,5762,4.23,-0.2,G
HD143807 ,s0581,A0p...,11224,3.72,0,A
HD144172 ,s0582,F8,6302,4.02,-0.46,F
HD144585 ,s0584,G5 V,5669,3.95,0.29,G
HD144608 ,s0585,G6/G8III,5200,2.1,0.27,G
HD144872 ,s0583,K3 V,4739,4.65,-0.3,K
HD145148 ,s0586,K0 IV,4849,3.45,0.09,K
HD145250 ,s0588,K3III,4540,2.51,-0.3,K
HD145675 ,s0587,K0 V,5264,4.66,0.34,K
HD145976 ,s0589,F3V,6751,4.13,0.03,F
HD146051 ,s0590,M0.5 III,3793,1.4,0.32,M
HD146624 ,s0592,A0V:,9509,4.5,0.01,A
HD147379B ,s0591,M3 V,3247,4.84,0,M
HD147923 ,s0593,M...,3600,0.8,-0.19,M
HD148112 ,s0595,B9p...,9333,3,0,B
HD148513 ,s0597,K4 IIIp,3989,1.67,0.11,K
HD148786 ,s0602,G8/K0III,5141,2.64,0,G
HD148816 ,s0599,F9 V,5830,4.21,-0.73,F
HD148897 ,s0600,G8p,4284,1.15,-0.5,G
HD148898 ,s0604,Ap,8400,3.5,-0.47,A
HD149009 ,s0603,K5 III,3910,1.6,0.3,K
HD149121 ,s0605,B9.5III,11100,3.78,0.12,B
HD149161 ,s0606,K4 III,3927,1.39,-0.17,K
HD149382 ,s0608,B5,36000,5.5,-1.3,B
HD149661 ,s0609,K0 V,5168,4.7,0.04,K
HD150012 ,s0610,F5III-IV,6569,4,0.16,F
HD150177 ,s0611,F3 V,6019,3.99,-0.57,F
HD150275 ,s0601,K1 III,4703,2.5,-0.5,K
HD150281 ,s0612,K0,4863,4.26,-0.29,K
HD150453 ,s0613,F3V,6449,3.84,-0.35,F
HD151203 ,s0614,M3 IIIab,3640,0.7,-0.1,M
HD151217 ,s0615,K5 III,3987,1.52,-0.03,K
HD152601 ,s0616,K2III,4664,2.55,0.05,K
HD152781 ,s0617,K0/K1III/IV,4982,3.6,0,K
HD153286 ,s0618,Am,7522,3.5,0.17,A
HD153882 ,s0619,B9p...,8842,3,-0.25,B
HD154733 ,s0620,K3III,4200,2.09,0,K
HD155078 ,s0623,F5IV,6396,3.71,-0.1,F
HD155358 ,s0622,G0,5828,4.13,-0.67,G
HD155763 ,s0621,B6III,13397,4.24,-0.95,B
HD156026 ,s0625,K5V,4541,4.54,-0.37,K
HD156283 ,s0624,K3IIvar,4163,1.42,-0.07,K
HD157089 ,s0628,F9 V,5785,4.12,-0.56,F
HD157214 ,s0627,G0 V,5682,4.25,-0.39,G
HD157373 ,s0626,F4V,6422,4.07,-0.6,F
HD157856 ,s0631,F3V,6330,3.91,-0.14,F
HD157881 ,s0630,K7 V,4065,4.57,0.38,K
HD157910 ,s0629,G5 III,5631,1.83,-0.32,G
HD157919 ,s0632,F3III,6926,3.89,0.04,F
HD159307 ,s0635,F8,6198,3.9,-0.73,F
HD159332 ,s0634,F6 V,6164,3.84,-0.21,F
HD159482 ,s0636,G0V,5615,3.92,-1.08,G
HD160693 ,s0639,G0 V,5768,4.14,-0.61,G
HD160762 ,s0638,B3IV,19000,3.75,0.1,B
HD160933 ,s0637,F9V,5684,3.9,-0.32,F
HD161074 ,s0640,K4III,3980,1.73,-0.27,K
HD161096 ,s0642,K2III,4550,2.55,0.09,K
HD161149 ,s0641,F5II,6600,2.95,0.55,F
HD161227 ,s0644,Fm,7522,3.5,0,F
HD161695 ,s0645,A0Ib,9950,2.2,-0.03,A
HD161796 ,s0643,F3Ib,6666,0.6,-0.3,F
HD161797 ,s0646,G5 IV,5411,3.87,0.16,G
HD161817 ,s0647,A2 VI (HB),7636,2.93,-0.95,A
HD162211 ,s0648,K2III,4514,2.45,0.05,K
HD163990 ,s0651,M6Svar,3365,0.7,0.01,M
HD163993 ,s0652,G8 III,5028,2.7,0.03,G
HD164058 ,s0650,K5 III,3902,1.32,-0.05,K
HD164136 ,s0653,F2 II,6799,2.63,-0.3,F
HD164349 ,s0654,K0.5 IIb,4446,1.5,0.39,K
HD164353 ,s0655,B5 Ib,13493,2.4,0,B
HD164432 ,s0656,B2IV,21311,3.65,-0.33,B
HD164975 ,s0658,G0Ib/II,6632,2.3,0.28,G
HD165195 ,s0657,K3p,4471,1.11,-2.15,K
HD165341 ,s0659,K0V,5158,4.67,0.03,K
HD165438 ,s0660,K1IV,4862,3.4,0.02,K
HD165634 ,s0663,K0IIICNpvar,4820,2.76,-0.14,K
HD165908 ,s0661,F7 V,5928,4.24,-0.53,F
HD166161 ,s0665,G5,4905,2.31,-1.25,G
HD166208 ,s0662,G8III...,4919,2.52,0.08,G
HD166285 ,s0666,F5V,6348,4.13,-0.16,F
HD166460 ,s0667,K2III,4424,2.1,0,K
HD166620 ,s0664,K2 V,4944,4.47,-0.23,K
HD167006 ,s0669,M3 III,3640,0.7,0,M
HD167105 ,s0668,A0,8550,3.3,-1.84,A
HD167665 ,s0673,F8V,6080,4.21,-0.21,F
HD167768 ,s0670,G3 III,5235,1.61,-0.67,G
HD168322 ,s0672,G8.5 IIIb,4792,2,-0.4,G
HD168608 ,s0676,F8II,5475,1,0.02,F
HD168720 ,s0674,M1 III,3810,1.1,0,M
HD168723 ,s0675,K0III-IV,4859,3.13,-0.19,K
HD169027 ,s0671,A0,11588,3.78,-0.17,A
HD169985 ,s0678,G0III+...,5780,3.24,0.27,G
HD170693 ,s0677,K1.5 III,4394,2.32,-0.38,K
HD170737 ,s0679,G8III-IV,5150,3,-0.67,G
HD171391 ,s0681,G8III,5027,2.9,-0.16,G
HD171443 ,s0682,K3 III,4189,1.84,-0.08,K
HD171496 ,s0683,G8IV,4700,1.6,-0.91,G
HD171999 ,s0684,G5,5031,4.65,-0.1,G
HD172103 ,s0686,F1IV-V,6418,3.68,-0.22,F
HD172365 ,s0687,F8 Ib-II,5800,2.12,-0.36,F
HD172380 ,s0685,M4-5 II,3349,0.55,0,M
HD172816 ,s0691,M5.2 III,3270,0.5,0,M
HD172958 ,s0688,B8 V,11300,3.75,0,B
HD173093 ,s0692,F7V,6268,4.09,-0.18,F
HD173524 ,s0689,B9.5p...,11944,3.78,0.28,B
HD173648 ,s0693,Am,8190,3.9,0.39,A
HD173650 ,s0694,B9p...,9540,3,0.12,B
HD173667 ,s0695,F6V,6280,3.97,0.05,F
HD173740 ,s0690,M5 V,3365,4.93,-0.54,M
HD173819 ,s0697,K0Ibpvar,4421,0,-0.88,K
HD174567 ,s0698,A0Vs,10200,3.55,0.15,A
HD174704 ,s0702,F1 Vp,7412,3.5,0.6,F
HD174912 ,s0699,F8,5746,4.32,-0.48,F
HD174959 ,s0701,B6IV,14681,4,-0.8,B
HD175225 ,s0700,G9IVa,5148,3.36,0.01,G
HD175305 ,s0696,G5 III,4899,2.3,-1.43,G
HD175535 ,s0703,G7 IIIa,5066,2.55,-0.09,G
HD175588 ,s0704,M4 II,3550,0.6,0,M
HD175640 ,s0706,B9III,12050,3.9,-0.43,B
HD175865 ,s0705,M5 III,3420,0.5,0.14,M
HD175892 ,s0708,A1V,8816,4.22,0,A
HD176232 ,s0710,A4p(EuCrSr),7701,4.09,0.06,A
HD176301 ,s0709,B7 III-IV,13100,3.5,0,B
HD176437 ,s0711,B9III,10282,3.5,0.2,B
HD177463 ,s0712,K1III,4560,2.65,-0.25,K
HD178089 ,s0707,F2V,6641,4.23,-0.08,F
HD179761 ,s0714,B8II-III,13175,3.27,-0.14,B
HD180163 ,s0715,B2.5IV,17360,3.38,-0.01,B
HD180711 ,s0713,G9 III,4800,2.67,-0.12,G
HD180928 ,s0717,K4 III,3969,1.3,-0.35,K
HD181096 ,s0716,F6IV:,6276,4.09,-0.26,F
HD181470 ,s0718,A0III,10012,3.58,-0.46,A
HD182293 ,s0719,K3 IVp,4486,3,0.18,K
HD182572 ,s0721,G8 IVvar,5570,4.19,0.31,G
HD183324 ,s0722,A0V,9260,4.22,-1.5,A
HD184406 ,s0728,K3 III,4520,2.41,0.01,K
HD184499 ,s0726,G0 V,5738,4.02,-0.66,G
HD184786 ,s0727,M4.5III,3467,0.6,-0.04,M
HD185144 ,s0724,K0 V,5260,4.55,-0.24,K
HD185351 ,s0729,K0III,4918,3.03,-0.07,K
HD185657 ,s0730,G6V,4710,3,-0.45,G
HD185859 ,s0732,B0.5 Iae,21860,2.8,0,B
HD186408 ,s0733,G2 V,5815,4.3,0.09,G
HD186427 ,s0734,G5 V,5762,4.43,0.07,G
HD187111 ,s0736,G8III/IVw,4259,0.58,-1.83,G
HD187216 ,s0720,R...,3500,0.4,-2.48,R
HD187691 ,s0738,F8 V,6107,4.3,0.11,F
HD187879 ,s0737,B1III,19676,3.4,1.25,B
HD187921 ,s0739,K0var,6000,1,0.28,K
HD188041 ,s0740,A5pvar,8000,4,0.11,A
HD188119 ,s0735,G8III,4915,2.61,-0.32,G
HD188510 ,s0742,G5 Vwe,5490,4.69,-1.59,G
HD188512 ,s0743,G8 IVvar,5041,3.04,-0.04,G
HD188650 ,s0741,Fp,5764,2.9,-0.4,F
HD188727 ,s0744,G5 Ib var,5685,1.6,0,G
HD188947 ,s0745,K0IIIvar,4829,2.53,0.01,K
HD189005 ,s0746,G8II/III,5060,2.78,-0.38,G
HD189558 ,s0747,G0/G1V,5786,3.85,-1.19,G
HD189849 ,s0748,A4III,7972,3.59,0.08,A
HD190178 ,s0752,F3V,5993,3,-1,F
HD190360 ,s0749,G6 IV + M6 V,5441,3.89,0.25,G
HD190390 ,s0753,F1III,6440,1.55,-1.05,F
HD190404 ,s0750,K1V,5051,4.45,-0.17,K
HD190603 ,s0751,B1.5 Iae,18800,2.41,0,B
HD191026 ,s0754,K0IV,5050,3.49,-0.1,K
HD191046 ,s0755,K0 III,4317,2.01,-0.65,K
HD192577 ,s0758,K2II+...,4030,1.39,-0.31,K
HD192640 ,s0759,A2V,8030,3.96,-1.19,A
HD192907 ,s0756,B9III,10675,3.65,-0.05,B
HD192909 ,s0760,K3Ib-II+?,3880,1.34,-0.43,K
HD193281 ,s0761,A5/A6V,8080,3.58,-1,A
HD194598 ,s0762,F7 V-VI,5887,4.27,-1.22,F
HD194943 ,s0763,F3V,6741,4.25,-0.16,F
HD195633 ,s0765,G0 Vw,6000,3.78,-0.77,G
HD195838 ,s0766,G0V,6012,4.03,-0.33,G
HD196502 ,s0764,A0p...,8842,3.9,0.28,A
HD196544 ,s0767,A2V,9164,4.3,0.17,A
HD196755 ,s0768,G5IV+...,5611,3.65,-0.02,G
HD197177 ,s0769,G8IIb,5150,2.3,0.64,G
HD197461 ,s0771,A7IIIp...,7176,3.41,-0.3,A
HD197572 ,s0770,G8Ib,5239,0.4,0.15,G
HD197964 ,s0774,K1IV,4813,3.03,0.17,K
HD197989 ,s0773,K0III,4798,2.56,-0.1,K
HD198001 ,s0776,A1V,9470,3.64,0.07,A
HD198149 ,s0772,K0 IV,5013,3.19,-0.19,K
HD198183 ,s0775,B5 V,14315,4,0,B
HD198478 ,s0778,B3 Iae,14900,2.19,-0.23,B
HD199191 ,s0779,K0 III,4767,2.25,-0.64,K
HD199478 ,s0780,B8 Iae,11200,1.9,0,B
HD199799 ,s0781,M1,3400,0.3,-0.24,M
HD200527 ,s0782,M3Ib-II:,3451,0.7,-0.04,M
HD200580 ,s0783,F9 V,5774,4.28,-0.65,F
HD200779 ,s0785,K6 V,4252,4.63,0,K
HD200790 ,s0786,F8 V,5928,4.13,-0.12,F
HD200905 ,s0784,K5Ib...,3899,0.91,-0.2,K
HD201078 ,s0787,F7.5II,6157,1.65,0.13,F
HD201091 ,s0788,K5V,4342,4.56,-0.05,K
HD201601 ,s0789,F0p,7657,3.92,0.07,F
HD201889 ,s0791,G1V,5618,4.08,-0.95,G
HD201891 ,s0790,F8 V-VI,5854,4.45,-1.11,F
HD202109 ,s0792,G8II...,4914,2.42,-0.04,G
HD202447 ,s0793,G0III+...,5980,3.24,0.09,G
HD202671 ,s0794,B5II/III,15273,4.2,1.2,B
HD203638 ,s0795,K0III,4500,2.72,0.02,K
HD204041 ,s0796,A1IV,8100,4.03,-0.98,A
HD204075 ,s0797,G4Ibp...,5220,1.55,-0.45,G
HD204155 ,s0798,G5,5608,4.24,-0.9,G
HD204381 ,s0801,K0III,5060,3.01,-0.28,K
HD204543 ,s0803,G0,4617,1.31,-1.76,G
HD204587 ,s0804,M0 V,4035,4.67,0,M
HD204613 ,s0799,G0IIIwsp,5727,3.84,-0.51,G
HD204754 ,s0802,B8III,12923,3.5,-0.28,B
HD205021 ,s0800,B2IIIvar,26740,4.16,-0.23,B
HD205153 ,s0806,G0 IV,5947,3.7,-0.02,G
HD205435 ,s0805,G8 III,5071,2.74,-0.16,G
HD205512 ,s0807,K1 III,4634,2.57,0.03,K
HD206078 ,s0808,G8 III,4658,2.87,-0.48,G
HD206165 ,s0809,B2 Ib,17760,2.65,-0.33,B
HD206453 ,s0811,G8III,5092,3.12,-0.5,G
HD206778 ,s0814,K2Ibvar,4461,1.2,0.04,K
HD206826 ,s0813,F6V,6300,4.32,-0.22,F
HD206952 ,s0810,K0III,4664,2.33,0.14,K
HD207076 ,s0816,M7 III,2750,0,0,M
HD207130 ,s0812,K0III,4733,2.64,-0.05,K
HD207222 ,s0818,A0,8542,3.5,-1.15,A
HD207260 ,s0815,A2 Ia,9450,2.09,0,A
HD207330 ,s0817,B3III,18351,3.49,-0.1,B
HD207673 ,s0819,A2 Ib,9071,1.39,-0.08,A
HD208501 ,s0820,B8 Ib,12200,2.2,0,B
HD208906 ,s0821,F8 V-VI,5965,4.2,-0.74,F
HD209369 ,s0822,F5V,6288,3.9,-0.28,F
HD209459 ,s0823,B9.5V,10475,3.5,-0.15,B
HD209975 ,s0824,08 Ib,30274,3.3,0.3,O
HD210295 ,s0825,G8,4769,2.2,-1.39,G
HD210424 ,s0826,B5III,13860,4,-0.26,B
HD210595 ,s0828,F7Vwe,6270,2.93,-0.72,F
HD210705 ,s0829,F0V,6806,3.99,-0.21,F
HD210745 ,s0827,K1.5 Ib,4274,-0.2,0.22,K
HD211075 ,s0830,K2,4350,1.5,-0.54,K
HD212454 ,s0831,B8III-IV,15512,4.1,0.7,B
HD212943 ,s0832,K0 III,4586,2.81,-0.34,K
HD213042 ,s0835,K5V,4760,4.58,0.25,K
HD213119 ,s0833,K5III,3910,1.59,-0.21,K
HD213307 ,s0834,A0,5864,1.65,0.07,A
HD213470 ,s0836,A3 Ia,8800,1.38,0,A
HD214080 ,s0837,B1/B2Ib,22186,3.3,-0.2,B
HD214567 ,s0839,G8II,5038,2.5,0.03,G
HD214714 ,s0840,G3Ib-IICNe,5360,2.64,-0.38,G
HD214994 ,s0841,A1IV,9608,3.65,0.08,A
HD215648 ,s0843,F7 V,6167,4.04,-0.32,F
HD216131 ,s0846,G8 III,5018,2.78,-0.09,G
HD216143 ,s0847,G5,4496,1.27,-2.15,G
HD216174 ,s0845,K1 III,4390,2.23,-0.53,K
HD216219 ,s0848,G0IIp,5727,3.36,-0.39,G
HD216228 ,s0844,K0 III,4768,2.49,0.01,K
HD216385 ,s0849,F7 IV,6179,3.98,-0.35,F
HD216640 ,s0851,K1III,4568,2.74,0.22,K
HD216831 ,s0852,B7III,12923,3.8,0.4,B
HD216916 ,s0853,B2IV,22989,3.9,-0.23,B
HD217014 ,s0854,G5V,5729,4.12,0.11,G
HD217107 ,s0855,G8IV,5548,4.28,0.31,G
HD217382 ,s0850,K4III,4070,1.78,-0.11,K
HD217754 ,s0856,F2IV,7074,3.56,0.1,F
HD218031 ,s0857,K0 IIIb,4646,2.52,-0.14,K
HD218235 ,s0858,F6Vs,6490,4.08,0.16,F
HD218329 ,s0859,M1 IIIab,3810,1.1,0,M
HD218502 ,s0860,F3w,6030,3.76,-1.84,F
HD218640 ,s0861,A3IV:,5640,3.62,0.27,A
HD218804 ,s0862,F5IV,6261,4.05,-0.23,F
HD218857 ,s0863,G6w,5082,2.41,-1.93,G
HD219116 ,s0865,G8IIIp,5300,3.5,-0.34,G
HD219134 ,s0864,K3 Vvar,4717,4.5,0.05,K
HD219449 ,s0867,K0 III,4578,2.39,-0.09,K
HD219615 ,s0870,G9 III,4830,2.57,-0.42,G
HD219617 ,s0869,F8w,5878,4.04,-1.39,F
HD219623 ,s0868,F7 V,6155,4.17,-0.04,F
HD219734 ,s0871,M2 III,3730,0.9,0.27,M
HD219916 ,s0872,K0III,5110,3.14,-0.07,K
HD219978 ,s0873,K4.5 Ib,4242,0.8,-0.15,K
HD220009 ,s0874,K2 III,4418,2.25,-0.56,K
HD220575 ,s0875,B8III,12293,3.7,0.5,B
HD220825 ,s0877,A0p...,10286,3.7,-0.18,A
HD220933 ,s0878,A0mnp...,10723,3.8,0.8,A
HD220954 ,s0879,K1III,4664,2.37,-0.1,K
HD221148 ,s0881,K3 IIIvar,4643,3.05,0.3,K
HD221170 ,s0880,G2IV,4465,1.04,-2.1,G
HD221345 ,s0882,K0III,4731,2.63,-0.31,K
HD221377 ,s0883,F7Vm,5998,3.8,-1.12,F
HD221756 ,s0885,A1III,9020,3.91,-0.5,A
HD221830 ,s0886,F9 V,5688,4.16,-0.44,F
HD222368 ,s0888,F7 V,6170,4.09,-0.15,F
HD222404 ,s0887,K1IV,4769,2.98,-0.01,K
HD222451 ,s0889,F1V,6630,4.16,0,F
HD223047 ,s0891,G5Ib,4990,1.5,0.17,G
HD223385 ,s0892,A3Ia+...,9333,1,0,A
HD223524 ,s0893,K0IV,4609,4.2,0.07,K
HD223640 ,s0894,B9p(SiCrSr),12462,3.55,0.31,B
HD224458 ,s0895,G8III,4722,2.2,-0.49,G
HD224930 ,s0001,G3 V,5305,4.49,-0.75,G
HD225212 ,s0002,K3Ibvar,4166,0.95,0.02,K
HD225239 ,s0003,G2V,5775,4,-0.45,G
HD232078 ,s0731,K4-5 III-II,3983,0.3,-1.73,K
HD233511 ,s0298,sdF6,5900,4.2,-1.7,F
HD233666 ,s0359,G2we,5295,2.5,-1.51,G
HD233832 ,s0410,K0V,4904,4.37,-0.74,K
HD234677 ,s0680,K7Vvar,4200,4.5,0.05,K
HD237846 ,s0365,F8,4957,1.79,-2.59,F
HD237903 ,s0388,K7 V,4070,4.7,-0.18,K
HD250792 ,s0202,G0V,5440,4.29,-1.21,G
HD251611 ,s0205,F8,5353,3.75,-1.7,F
HD281679 ,s0140,B8,8542,2.5,-1.43,B
HD284248 ,s0143,F2,6025,4.2,-1.6,F
HD285690 ,s0146,K0,4790,4.6,0.13,K
HD285773 ,s0153,G5,5208,4.46,-0.05,G
HD293857 ,s0172,G8V,5450,4.5,0,G
HD338529 ,s0725,B5,6165,4.06,-2.25,B
HD345957 ,s0757,G0Vwe,5702,3.87,-1.51,G
LHS1930 ,s0263,G5,5350,4.5,-1.24,G
