Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
HD008829 ,s0058,F0V,7163,4.15,0.25,F
HD009138 ,s0059,K4III,4103,1.85,-0.37,K
HD009356 ,s0060,F0,6282,2.77,-1.38,F
HD009408 ,s0062,K0III,4803,2.93,-0.3,K
HD009562 ,s0061,G2IV,5728,3.77,0.15,G
HD009826 ,s0063,F8V,6134,4.09,0.11,F
HD009919 ,s0064,F0V,6830,3.96,-0.41,F
HD010307 ,s0066,G2V,5838,4.28,0.03,G
HD010380 ,s0065,K3III,4057,1.43,-0.25,K
HD010700 ,s0067,G8V,5264,4.36,-0.5,G
HD010780 ,s0069,K0V,5392,4.6,0.1,K
HD010975 ,s0070,K0III,4786,2.4,-0.32,K
HD011257 ,s0071,F2Vw,7099,4.5,-0.2,F
HD011397 ,s0072,G6IV/V,6074,5.15,0.09,G
HD011964 ,s0073,G5,5552,4.24,0.17,G
HD012014 ,s0074,K0Ib,5196,2.3,0.45,K
HD012438 ,s0075,G5III,5080,2.81,-0.53,G
HD013043 ,s0076,G2V,5695,3.68,0.1,G
HD013267 ,s0078,B5Ia,13800,2.44,0,B
HD013520 ,s0080,K4III,3961,1.55,0.3,K
HD013555 ,s0079,F5V,6380,4.01,-0.35,F
HD013783 ,s0082,G8V,5338,4.35,-0.55,G
HD014221 ,s0083,F4V,6295,3.91,-0.35,F
HD014802 ,s0084,G1V,5629,3.59,-0.08,G
HD014829 ,s0085,A0,8666,3.1,-1.25,A
HD014938 ,s0086,F5,6153,4.04,-0.35,F
HD015596 ,s0087,G5III-IV,4755,2.5,-0.7,G
HD015798 ,s0088,F5V,6401,3.74,-0.16,F
HD016031 ,s0089,G8III,6030,4.05,-1.72,G
HD016232 ,s0091,F4V,6346,4.54,0.03,F
HD016234 ,s0090,F7V,6164,4.32,-0.31,F
HD016673 ,s0092,F6V,6253,4.28,0.05,F
HD016784 ,s0093,F8V,5826,3.92,-0.74,F
HD016901 ,s0096,G0Ib-II,5345,0.85,0,G
HD017081 ,s0097,B7IV,13320,3.64,0.03,B
HD017361 ,s0098,K1.5III,4551,2.44,0.04,K
HD017378 ,s0102,A5Ia,8530,1.35,0,A
HD017382 ,s0100,K1V,5065,4.5,-0.13,K
HD017491 ,s0099,M4III,3560,0.6,0,M
HD017548 ,s0101,F8,5958,4.28,-0.6,F
HD018191 ,s0103,M6IIIvar,3250,0.3,0,M
HD018391 ,s0104,G0Ia,5500,0,-0.28,G
HD018907 ,s0105,G5IV,5009,3.6,-0.75,G
HD019373 ,s0108,G0V,5991,4.02,0.17,G
HD019445 ,s0106,A4p,5918,4.35,-2.05,A
HD019510 ,s0107,F0.5,6109,2.6,-2.5,F
HD019994 ,s0109,F8V,6016,3.99,0.12,F
HD020041 ,s0110,A0Ia,9560,2.13,0,A
HD020512 ,s0111,G5,5024,3.4,-0.65,G
HD020619 ,s0112,G0,5652,4.48,-0.28,G
HD020630 ,s0113,G5Vvar,5591,4.4,0.03,G
HD020893 ,s0114,K3III,4340,2.04,0.08,K
HD021017 ,s0116,K4III,4405,2.22,0.05,K
HD021197 ,s0117,K5V,4616,4.59,0.3,K
HD021581 ,s0118,G0,4825,2,-1.7,G
HD021910 ,s0122,G8III-IV,4694,1.75,-0.62,G
HD022049 ,s0120,K2V,5052,4.57,-0.15,K
HD022484 ,s0121,F8V,5993,4.03,-0.1,F
HD022879 ,s0123,F9V,5814,4.29,-0.83,F
HD023194 ,s0126,A5V,8542,4,-0.2,A
HD023249 ,s0124,K0IV,4884,3.4,-0.11,K
HD023261 ,s0125,G5,5132,4.64,0.1,G
HD023439A ,s0127,K1V,4990,4.4,-1.01,K
HD023439B ,s0128,K2V,4755,4.37,-1.02,K
HD023607 ,s0129,A7V,7875,4,-0.3,A
HD023841 ,s0130,K1III,4292,1.3,-0.95,K
HD023924 ,s0131,A7V,8000,4,-0.3,A
HD024341 ,s0133,G1V,5450,3.59,-0.6,G
HD024421 ,s0134,F5,5969,4.03,-0.65,F
HD024451 ,s0135,K4V,4357,4.61,0,K
HD024616 ,s0132,G8IV/V,4954,3.2,-0.75,G
HD025329 ,s0136,K1Vsb,4787,4.58,-1.72,K
HD025532 ,s0137,F6IV-V,5525,2.2,-1.2,F
HD025673 ,s0138,K0,5150,4.5,-0.6,K
HD026297 ,s0139,G5-6IVw,4316,1.06,-1.67,G
HD026322 ,s0141,F2IV-V,6943,3.57,0.11,F
HD026965 ,s0145,K1V,5073,4.19,-0.31,K
HD027126 ,s0147,F5,5378,4.23,-0.56,F
HD027295 ,s0148,B9IV,11704,3.93,-0.74,B
HD027371 ,s0149,K0III,4956,2.71,0.07,K
HD027771 ,s0150,G5,5143,4.5,0.07,G
HD027819 ,s0151,A7V,7957,4.32,0,A
HD028305 ,s0152,G9.5III,4846,2.68,0.11,G
HD028946 ,s0154,K0,5162,4.39,-0.26,K
HD028978 ,s0155,A2Vs,9164,3.7,0.14,A
HD029065 ,s0156,K4III,4034,1.79,-0.3,K
HD029139 ,s0157,K5III,3922,1.41,-0.18,K
HD030504 ,s0161,K4III,4000,1.52,-0.3,K
HD030649 ,s0162,G1V-VI,5699,4.22,-0.51,G
HD030743 ,s0160,F3-5V,6411,4.12,-0.34,F
HD030834 ,s0165,K3III,4115,1.73,-0.21,K
HD030959 ,s0164,M3Svar,3451,0.8,-0.15,M
HD031128 ,s0163,F3/F5Vw,5825,4.3,-1.5,F
HD031295 ,s0166,A0V,8990,4.08,-0.89,A
HD031767 ,s0167,K2II,4120,1.55,0.26,K
HD032147 ,s0168,K3V,4658,4.47,0.02,K
HD032655 ,s0169,F2IIp?,6900,2.26,0.1,F
HD033256 ,s0170,F2V,6359,4.12,-0.33,F
HD033276 ,s0171,F2IV,6909,3.3,0.25,F
HD033608 ,s0173,F5V,6542,4.06,0.31,F
HD034411 ,s0176,G0V,5835,4.17,0.06,G
HD034538 ,s0174,G8IV,4891,2.91,-0.33,G
HD035155 ,s0177,S?,3600,0.8,-0.72,S
HD035179 ,s0178,G8IV,4720,1.6,-0.67,G
HD035296 ,s0180,F8V,6091,4.25,0.04,F
HD035369 ,s0179,G8III,4863,2.5,-0.26,G
HD035620 ,s0181,K4IIIp,4367,1.75,-0.03,K
HD036003 ,s0182,K5V,4465,4.61,0.09,K
HD036395 ,s0183,M1V,3737,4.9,-1.5,M
HD037160 ,s0184,G8III-IV,4668,2.46,-0.5,G
HD037394 ,s0188,K1V,5294,4.33,0.03,K
HD037536 ,s0186,M2Iabs,3789,0.7,-0.15,M
HD037792 ,s0185,F2IV/V,6564,4.22,-0.44,F
HD037828 ,s0187,K0,4296,1.14,-1.38,K
HD037984 ,s0189,K1III,4397,2.49,-0.55,K
HD038007 ,s0192,G0,5665,4.04,-0.33,G
HD038392 ,s0190,K2V,4727,4.5,0.02,K
HD038393 ,s0191,F6V,6331,4.27,-0.05,F
HD038545 ,s0193,A3Vn,8970,3.6,-0.3,A
HD038656 ,s0195,G8III,4928,2.52,-0.22,G
HD038751 ,s0194,G8IIIvar,4751,2.27,0.04,G
HD039364 ,s0196,G8III/IV,4569,2.46,-0.9,G
HD039801 ,s0199,M2Iab,3550,0,0.03,M
HD039833 ,s0198,G0III,5761,3.85,0.29,G
HD039853 ,s0197,K5III,3994,1,-0.4,K
HD039970 ,s0200,A0Ia,9400,1.43,0,A
HD040657 ,s0201,K1.5III,4370,2.19,-0.52,K
HD041117 ,s0204,B2Iave,17463,2.7,0,B
HD041312 ,s0203,K3II/IIICNv,4000,0.93,-0.55,K
HD041597 ,s0209,G8III,4700,2.38,-0.54,G
HD041636 ,s0207,G9III,4709,2.5,-0.2,G
HD041692 ,s0206,B5IV,14400,3.12,-0.4,B
HD042182 ,s0208,G0,5117,4.54,0.11,G
HD042474 ,s0210,M2Iabpe...,3789,0.7,-0.36,M
HD042543 ,s0211,M1Ia-ab,3614,0,-0.42,M
HD043042 ,s0212,F6V,6569,4.22,0.08,F
HD043318 ,s0213,F6V,6224,3.93,-0.15,F
HD043378 ,s0217,A2Vs,9120,4.17,-0.32,A
HD043380 ,s0215,K2III,4577,2.34,0.08,K
HD043947 ,s0218,F8V,5912,4.23,-0.31,F
HD044007 ,s0216,G5IVw,4969,2.26,-1.47,G
HD044030 ,s0219,K4III,4198,1,-0.5,K
HD044691A ,s0221,A3m,7950,3.95,0.35,A
HD044889 ,s0220,K0,3775,0.4,-0.2,K
HD045282 ,s0222,G0,5348,3.24,-1.44,G
HD045829 ,s0223,K0Iab,4500,0.2,0,K
HD046341 ,s0224,G0,5750,4.1,-0.8,G
HD046703 ,s0226,F7IVw,6000,0.4,-1.62,F
HD047205 ,s0225,K1IV,4751,2.93,0.05,K
HD047914 ,s0227,K5III,3975,1.5,0.05,K
HD048329 ,s0228,G8Ib,4302,0.87,-0.02,G
HD048433 ,s0229,K1III,4460,1.88,-0.25,K
HD048565 ,s0231,F8,5929,3.59,-0.7,F
HD048682 ,s0232,G0V,5989,4.06,0.05,G
HD049161 ,s0233,K4III,4176,1.69,0.08,K
HD049331 ,s0234,M1II,3600,0.7,-0.03,M
HD049933 ,s0235,F2V,6598,4.08,-0.29,F
